time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-20 00:00:00+00:00,19,11,0,0
2026-02-21 00:00:00+00:00,24,15,0,0
2026-02-22 00:00:00+00:00,21,13,0,0
2026-02-23 00:00:00+00:00,17,10,0,0
2026-02-24 00:00:00+00:00,16,10,0,0
2026-02-25 00:00:00+00:00,15,8,0,0
2026-02-26 00:00:00+00:00,28,20,0,0
2026-02-27 00:00:00+00:00,18,11,0,0
2026-02-28 00:00:00+00:00,29,16,0,0
2026-03-01 00:00:00+00:00,22,11,0,0
2026-03-02 00:00:00+00:00,20,13,0,0
2026-03-03 00:00:00+00:00,20,13,0,0
2026-03-04 00:00:00+00:00,19,11,0,0
2026-03-05 00:00:00+00:00,5,5,1,1
