time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-05 00:00:00+00:00,6,6,,
2025-10-06 00:00:00+00:00,10,10,,
2025-10-07 00:00:00+00:00,10,10,1.0,1.0
2025-10-08 00:00:00+00:00,11,11,3.0,1.0
2025-10-09 00:00:00+00:00,4,4,,
2025-10-10 00:00:00+00:00,9,9,,
2025-10-11 00:00:00+00:00,12,12,,
2025-10-12 00:00:00+00:00,11,11,,
2025-10-13 00:00:00+00:00,5,5,,
2025-10-14 00:00:00+00:00,36,11,,
2025-10-15 00:00:00+00:00,15,6,,
2025-10-16 00:00:00+00:00,11,7,5.0,1.0
2025-10-17 00:00:00+00:00,5,4,1.0,1.0
2025-10-18 00:00:00+00:00,19,5,,
