time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-10 00:00:00+00:00,15,9,0,0
2026-02-11 00:00:00+00:00,14,10,0,0
2026-02-12 00:00:00+00:00,28,16,0,0
2026-02-13 00:00:00+00:00,22,13,0,0
2026-02-14 00:00:00+00:00,19,12,0,0
2026-02-15 00:00:00+00:00,28,19,0,0
2026-02-16 00:00:00+00:00,19,12,0,0
2026-02-17 00:00:00+00:00,26,13,0,0
2026-02-18 00:00:00+00:00,19,12,0,0
2026-02-19 00:00:00+00:00,22,14,0,0
2026-02-20 00:00:00+00:00,19,11,0,0
2026-02-21 00:00:00+00:00,24,15,0,0
2026-02-22 00:00:00+00:00,21,13,0,0
2026-02-23 00:00:00+00:00,17,10,0,0
