time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-31 00:00:00+00:00,18,11,0,0
2026-02-01 00:00:00+00:00,24,16,0,0
2026-02-02 00:00:00+00:00,24,12,1,1
2026-02-03 00:00:00+00:00,19,11,0,0
2026-02-04 00:00:00+00:00,19,13,0,0
2026-02-05 00:00:00+00:00,23,13,0,0
2026-02-06 00:00:00+00:00,14,12,0,0
2026-02-07 00:00:00+00:00,30,18,0,0
2026-02-08 00:00:00+00:00,25,13,0,0
2026-02-09 00:00:00+00:00,25,17,0,0
2026-02-10 00:00:00+00:00,15,9,0,0
2026-02-11 00:00:00+00:00,14,10,0,0
2026-02-12 00:00:00+00:00,28,16,0,0
2026-02-13 00:00:00+00:00,22,13,0,0
