time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-28 00:00:00+00:00,21,17,0,0
2026-03-29 00:00:00+00:00,22,11,0,0
2026-03-30 00:00:00+00:00,25,16,0,0
2026-03-31 00:00:00+00:00,19,11,0,0
2026-04-01 00:00:00+00:00,22,14,0,0
2026-04-02 00:00:00+00:00,32,16,0,0
2026-04-03 00:00:00+00:00,22,14,0,0
2026-04-04 00:00:00+00:00,29,14,0,0
2026-04-05 00:00:00+00:00,31,15,0,0
2026-04-06 00:00:00+00:00,23,13,0,0
2026-04-07 00:00:00+00:00,28,13,0,0
2026-04-08 00:00:00+00:00,37,18,0,0
2026-04-09 00:00:00+00:00,35,13,0,0
2026-04-10 00:00:00+00:00,32,15,0,0
