time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-03 00:00:00+00:00,8,8,3.0,1.0
2025-09-04 00:00:00+00:00,3,3,3.0,1.0
2025-09-05 00:00:00+00:00,8,8,,
2025-09-06 00:00:00+00:00,7,7,,
2025-09-07 00:00:00+00:00,3,3,,
2025-09-08 00:00:00+00:00,3,3,26.0,2.0
2025-09-09 00:00:00+00:00,6,6,1.0,1.0
2025-09-10 00:00:00+00:00,6,6,24.0,1.0
2025-09-11 00:00:00+00:00,7,7,,
2025-09-12 00:00:00+00:00,7,7,,
2025-09-13 00:00:00+00:00,9,9,,
2025-09-14 00:00:00+00:00,7,7,,
2025-09-15 00:00:00+00:00,6,6,,
2025-09-16 00:00:00+00:00,9,6,1.0,1.0
