time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-01 00:00:00+00:00,11,6,,
2025-03-02 00:00:00+00:00,12,7,,
2025-03-03 00:00:00+00:00,9,6,,
2025-03-04 00:00:00+00:00,8,5,,
2025-03-05 00:00:00+00:00,6,4,1.0,1.0
2025-03-06 00:00:00+00:00,6,4,,
2025-03-07 00:00:00+00:00,8,5,,
2025-03-08 00:00:00+00:00,10,6,,
2025-03-09 00:00:00+00:00,10,6,,
2025-03-10 00:00:00+00:00,9,6,,
2025-03-11 00:00:00+00:00,10,5,,
2025-03-12 00:00:00+00:00,5,4,,
2025-03-13 00:00:00+00:00,5,4,,
2025-03-14 00:00:00+00:00,5,2,,
