time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-26 00:00:00+00:00,9,9,,
2025-11-27 00:00:00+00:00,5,5,,
2025-11-28 00:00:00+00:00,8,8,,
2025-11-29 00:00:00+00:00,12,12,,
2025-11-30 00:00:00+00:00,6,6,,
2025-12-01 00:00:00+00:00,89,31,,
2025-12-02 00:00:00+00:00,87,28,,
2025-12-03 00:00:00+00:00,222,63,,
2025-12-04 00:00:00+00:00,17,13,,
2025-12-05 00:00:00+00:00,14,14,,
2025-12-06 00:00:00+00:00,23,15,,
2025-12-07 00:00:00+00:00,19,11,,
2025-12-08 00:00:00+00:00,17,9,,
2025-12-09 00:00:00+00:00,2,2,,
