time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,56,19,0,0
2026-04-14 00:00:00+00:00,44,15,0,0
2026-04-15 00:00:00+00:00,35,13,0,0
2026-04-16 00:00:00+00:00,30,14,0,0
2026-04-17 00:00:00+00:00,46,18,0,0
2026-04-18 00:00:00+00:00,27,16,0,0
2026-04-19 00:00:00+00:00,47,25,0,0
2026-04-20 00:00:00+00:00,119,50,0,0
2026-04-21 00:00:00+00:00,168,69,0,0
2026-04-22 00:00:00+00:00,164,67,0,0
2026-04-23 00:00:00+00:00,183,61,0,0
2026-04-24 00:00:00+00:00,156,59,0,0
2026-04-25 00:00:00+00:00,141,57,0,0
2026-04-26 00:00:00+00:00,45,18,0,0
