time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-05 00:00:00+00:00,23,13,0,0
2026-02-06 00:00:00+00:00,14,12,0,0
2026-02-07 00:00:00+00:00,30,18,0,0
2026-02-08 00:00:00+00:00,25,13,0,0
2026-02-09 00:00:00+00:00,25,17,0,0
2026-02-10 00:00:00+00:00,15,9,0,0
2026-02-11 00:00:00+00:00,14,10,0,0
2026-02-12 00:00:00+00:00,28,16,0,0
2026-02-13 00:00:00+00:00,22,13,0,0
2026-02-14 00:00:00+00:00,19,12,0,0
2026-02-15 00:00:00+00:00,28,19,0,0
2026-02-16 00:00:00+00:00,19,12,0,0
2026-02-17 00:00:00+00:00,26,13,0,0
2026-02-18 00:00:00+00:00,19,12,0,0
