time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-13 00:00:00+00:00,5,5,,
2025-10-14 00:00:00+00:00,36,11,,
2025-10-15 00:00:00+00:00,15,6,,
2025-10-16 00:00:00+00:00,11,7,5.0,1.0
2025-10-17 00:00:00+00:00,5,4,1.0,1.0
2025-10-18 00:00:00+00:00,21,7,,
2025-10-19 00:00:00+00:00,15,6,,
2025-10-20 00:00:00+00:00,18,8,,
2025-10-21 00:00:00+00:00,28,11,,
2025-10-22 00:00:00+00:00,38,12,,
2025-10-23 00:00:00+00:00,11,6,12.0,1.0
2025-10-24 00:00:00+00:00,19,8,,
2025-10-25 00:00:00+00:00,23,16,,
2025-10-26 00:00:00+00:00,7,6,,
