time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-02 00:00:00+00:00,87,28,,
2025-12-03 00:00:00+00:00,222,63,,
2025-12-04 00:00:00+00:00,17,13,,
2025-12-05 00:00:00+00:00,14,14,,
2025-12-06 00:00:00+00:00,23,15,,
2025-12-07 00:00:00+00:00,19,11,,
2025-12-08 00:00:00+00:00,17,9,,
2025-12-09 00:00:00+00:00,12,9,,
2025-12-10 00:00:00+00:00,18,11,,
2025-12-11 00:00:00+00:00,9,9,1.0,1.0
2025-12-12 00:00:00+00:00,19,8,1.0,1.0
2025-12-13 00:00:00+00:00,14,9,,
2025-12-14 00:00:00+00:00,12,9,,
2025-12-15 00:00:00+00:00,6,5,,
