time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-27 00:00:00+00:00,18,11,0,0
2026-02-28 00:00:00+00:00,29,16,0,0
2026-03-01 00:00:00+00:00,22,11,0,0
2026-03-02 00:00:00+00:00,20,13,0,0
2026-03-03 00:00:00+00:00,20,13,0,0
2026-03-04 00:00:00+00:00,19,11,0,0
2026-03-05 00:00:00+00:00,5,5,1,1
2026-03-06 00:00:00+00:00,15,10,0,0
2026-03-07 00:00:00+00:00,26,11,0,0
2026-03-08 00:00:00+00:00,19,11,0,0
2026-03-09 00:00:00+00:00,23,11,0,0
2026-03-10 00:00:00+00:00,18,9,0,0
2026-03-11 00:00:00+00:00,15,8,0,0
2026-03-12 00:00:00+00:00,8,5,0,0
