time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-05 00:00:00+00:00,5,5,1,1
2026-03-06 00:00:00+00:00,15,10,0,0
2026-03-07 00:00:00+00:00,26,11,0,0
2026-03-08 00:00:00+00:00,19,11,0,0
2026-03-09 00:00:00+00:00,23,11,0,0
2026-03-10 00:00:00+00:00,18,9,0,0
2026-03-11 00:00:00+00:00,15,8,0,0
2026-03-12 00:00:00+00:00,8,5,0,0
2026-03-13 00:00:00+00:00,22,12,0,0
2026-03-14 00:00:00+00:00,23,12,0,0
2026-03-15 00:00:00+00:00,15,12,0,0
2026-03-16 00:00:00+00:00,12,8,0,0
2026-03-17 00:00:00+00:00,14,7,0,0
2026-03-18 00:00:00+00:00,12,8,0,0
