time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,29,14,0,0
2026-04-05 00:00:00+00:00,31,15,0,0
2026-04-06 00:00:00+00:00,23,13,0,0
2026-04-07 00:00:00+00:00,28,13,0,0
2026-04-08 00:00:00+00:00,37,18,0,0
2026-04-09 00:00:00+00:00,35,13,0,0
2026-04-10 00:00:00+00:00,32,15,0,0
2026-04-11 00:00:00+00:00,52,21,0,0
2026-04-12 00:00:00+00:00,20,12,0,0
2026-04-13 00:00:00+00:00,56,19,0,0
2026-04-14 00:00:00+00:00,44,15,0,0
2026-04-15 00:00:00+00:00,35,13,0,0
2026-04-16 00:00:00+00:00,30,14,0,0
2026-04-17 00:00:00+00:00,46,18,0,0
