time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-10 00:00:00+00:00,26,10,,
2025-11-11 00:00:00+00:00,22,10,1.0,1.0
2025-11-12 00:00:00+00:00,18,14,,
2025-11-13 00:00:00+00:00,18,11,1.0,1.0
2025-11-14 00:00:00+00:00,18,8,,
2025-11-15 00:00:00+00:00,15,11,,
2025-11-16 00:00:00+00:00,8,8,,
2025-11-17 00:00:00+00:00,7,7,,
2025-11-18 00:00:00+00:00,8,8,,
2025-11-19 00:00:00+00:00,6,6,,
2025-11-20 00:00:00+00:00,7,7,1.0,1.0
2025-11-21 00:00:00+00:00,8,8,,
2025-11-22 00:00:00+00:00,9,9,,
2025-11-23 00:00:00+00:00,2,2,,
