time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-07 00:00:00+00:00,68,25,0,0
2026-07-08 00:00:00+00:00,11,7,0,0
2026-07-09 00:00:00+00:00,26,10,0,0
2026-07-10 00:00:00+00:00,26,12,1,1
2026-07-11 00:00:00+00:00,35,13,0,0
2026-07-12 00:00:00+00:00,36,13,0,0
2026-07-13 00:00:00+00:00,35,17,0,0
2026-07-14 00:00:00+00:00,27,14,0,0
2026-07-15 00:00:00+00:00,29,12,0,0
2026-07-16 00:00:00+00:00,38,16,0,0
2026-07-17 00:00:00+00:00,35,14,0,0
2026-07-18 00:00:00+00:00,34,15,0,0
2026-07-19 00:00:00+00:00,31,14,0,0
2026-07-20 00:00:00+00:00,26,11,0,0
