time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-11 00:00:00+00:00,15,8,0,0
2026-03-12 00:00:00+00:00,8,5,0,0
2026-03-13 00:00:00+00:00,22,12,0,0
2026-03-14 00:00:00+00:00,23,12,0,0
2026-03-15 00:00:00+00:00,15,12,0,0
2026-03-16 00:00:00+00:00,12,8,0,0
2026-03-17 00:00:00+00:00,14,7,0,0
2026-03-18 00:00:00+00:00,12,8,0,0
2026-03-19 00:00:00+00:00,21,8,0,0
2026-03-20 00:00:00+00:00,12,8,0,0
2026-03-21 00:00:00+00:00,24,11,0,0
2026-03-22 00:00:00+00:00,19,7,0,0
2026-03-23 00:00:00+00:00,16,10,0,0
2026-03-24 00:00:00+00:00,16,10,0,0
