time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-16 00:00:00+00:00,20,11,0,0
2025-12-17 00:00:00+00:00,15,12,0,0
2025-12-18 00:00:00+00:00,18,11,0,0
2025-12-19 00:00:00+00:00,13,11,0,0
2025-12-20 00:00:00+00:00,26,14,0,0
2025-12-21 00:00:00+00:00,13,8,0,0
2025-12-22 00:00:00+00:00,13,8,0,0
2025-12-23 00:00:00+00:00,20,12,0,0
2025-12-24 00:00:00+00:00,31,10,0,0
2025-12-25 00:00:00+00:00,22,9,34,1
2025-12-26 00:00:00+00:00,18,9,0,0
2025-12-27 00:00:00+00:00,24,9,0,0
2025-12-28 00:00:00+00:00,38,13,0,0
2025-12-29 00:00:00+00:00,10,6,0,0
