time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-31 00:00:00+00:00,24,15,0,0
2026-01-01 00:00:00+00:00,17,10,0,0
2026-01-02 00:00:00+00:00,14,10,0,0
2026-01-03 00:00:00+00:00,10,9,0,0
2026-01-04 00:00:00+00:00,23,9,0,0
2026-01-05 00:00:00+00:00,13,8,0,0
2026-01-06 00:00:00+00:00,21,13,10,1
2026-01-07 00:00:00+00:00,16,10,0,0
2026-01-08 00:00:00+00:00,16,13,0,0
2026-01-09 00:00:00+00:00,22,11,1,1
2026-01-10 00:00:00+00:00,24,12,1,1
2026-01-11 00:00:00+00:00,30,13,0,0
2026-01-12 00:00:00+00:00,21,13,8,2
2026-01-13 00:00:00+00:00,17,11,0,0
