time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-27 00:00:00+00:00,28,17,0,0
2026-01-28 00:00:00+00:00,15,11,0,0
2026-01-29 00:00:00+00:00,16,11,3,1
2026-01-30 00:00:00+00:00,24,13,2,2
2026-01-31 00:00:00+00:00,18,11,0,0
2026-02-01 00:00:00+00:00,24,16,0,0
2026-02-02 00:00:00+00:00,24,12,1,1
2026-02-03 00:00:00+00:00,19,11,0,0
2026-02-04 00:00:00+00:00,19,13,0,0
2026-02-05 00:00:00+00:00,23,13,0,0
2026-02-06 00:00:00+00:00,14,12,0,0
2026-02-07 00:00:00+00:00,30,18,0,0
2026-02-08 00:00:00+00:00,25,13,0,0
2026-02-09 00:00:00+00:00,25,17,0,0
