time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-11 00:00:00+00:00,,,0.0,0.0
2026-01-12 00:00:00+00:00,21.0,13.0,8.0,2.0
2026-01-13 00:00:00+00:00,17.0,11.0,0.0,0.0
2026-01-14 00:00:00+00:00,15.0,8.0,3.0,1.0
2026-01-15 00:00:00+00:00,19.0,10.0,0.0,0.0
2026-01-16 00:00:00+00:00,24.0,10.0,1.0,1.0
2026-01-17 00:00:00+00:00,26.0,14.0,0.0,0.0
2026-01-18 00:00:00+00:00,30.0,17.0,0.0,0.0
2026-01-19 00:00:00+00:00,23.0,11.0,0.0,0.0
2026-01-20 00:00:00+00:00,27.0,12.0,7.0,2.0
2026-01-21 00:00:00+00:00,20.0,10.0,0.0,0.0
2026-01-22 00:00:00+00:00,19.0,10.0,2.0,2.0
2026-01-23 00:00:00+00:00,20.0,11.0,0.0,0.0
2026-01-24 00:00:00+00:00,35.0,18.0,0.0,0.0
2026-01-25 00:00:00+00:00,16.0,9.0,,
